OID_,AC_type,Year,Passage_lift,Service_lift,Operate_start_work,bld_opr_hrs,Operate_start_weekend,Operate_hours_weekend,retail,parking,office,hotel,food,GHI,wind_speed_10m,CDH,landuse,NDVI,NDBI,BH,podium,area_podium,highrise,area_upper,Dist_mtr,bld_eui2,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
1910,Central Air-Conditioning System,2000,2,0,8.5,10,8.5,4.5,1221.068604,98.6784821,568.0762939,117.2895966,897.4263916,1421.187988,3.1632802,2.793602151,1,0.0328828,0.0917385,40.3449249,1,2128,1,592,220.5258352,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1911,Central Air-Conditioning System,2003,10,1,8,11,8,6,2841.430664,147.5220337,43.4629707,362.3890686,1090.180054,1423.744019,2.6154828,2.757786739,11,0.0243273,0.0456984,60.3724937,1,10635,1,1697,276.324803,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1912,Central Air-Conditioning System,2007,,,8,12,8,6,0,0,0,0,0,1430.68396,2.9365766,2.757786739,11,-0.0334672,-0.0018923,39.5696716,1,39677,1,897,194.7820955,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1913,Individual Air-Conditioning System,2009,3,1,,,,,1314.228027,45.7463303,1222.901245,552.2001953,3227.037354,1421.187988,2.9570251,2.757786739,11,0.0140653,-0.0320416,61.5523796,1,2625,1,215,249.3640872,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1914,Individual Air-Conditioning System,2011,3,0,,,,,1509.076416,176.1144104,9.5798321,0.0006943,4085.269775,1421.187988,3.1632802,2.793602151,11,0.018375,0.0568997,70.1445618,1,1238,1,106,271.649528,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1915,Individual Air-Conditioning System,2011,1,0,,,,,2165.958984,1.6420718,408.10672,184.898819,1079.436035,1417.535034,2.7116663,2.757786739,11,0.0866652,0.0126925,51.7745628,1,2368,1,2218,545.7192752,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1916,Individual Air-Conditioning System,2012,,,,,,,2165.958984,1.6420718,408.10672,184.898819,1079.436035,1417.535034,2.7116663,2.757786739,11,0.0866652,0.0126925,51.7745628,1,2368,1,2218,545.7192752,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1917,Individual Air-Conditioning System,2013,2,0,,,,,1419.12915,0,199.082428,181.3276825,1929.967285,1419.727051,2.6154828,2.757786739,1,0.047473,0.0749653,78.7662506,1,976,1,179,166.9375194,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1918,,2014,,,,,,,1191.877441,221.9932251,63.3934097,468.3677063,1189.299439,1421.187988,3.0064847,2.757786739,11,0.0093286,0.0742371,147.3774567,1,685,1,479,266.0014232,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1919,Central Air-Conditioning System,2015,6,1,8.5,11,8.5,5,520.1375732,247.2767334,161.6507111,185.6265564,1366.210693,1421.552979,2.4128978,2.793602151,11,0.0737529,0.0285136,68.7219086,1,1620,1,576,465.5079353,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
