bld_eui2,log10_eui,highrise,area_upper,podium,area_podium,BH,BS,Year,food,retail,parking,office,hotel,CDH,GHI,wind_speed_10m,ndvi,landuse,Dist_mtr,AC_type,Passage_lift,Service_lift,Operate_start_work,Operate_hours_work,Operate_hours,retro
15.35,1.18610838,1,367,1,1809,78.804718,21,1983,500.6530151,606.1690063,170.2070007,2686.330078,0,2.5428901,1464.650024,4.67625,0.0484645,21,3258.108377,Individual Air-Conditioning System,4,,,,,NONE
15.43,1.188365926,0,0,1,2619,62.3961754,19,1959,909.0130005,2060.229981,0,2764.689941,0,2.5070801,1413.52002,1.80822,0.0129496,11,87.56075314,Individual Air-Conditioning System,3,1,,,,NONE
15.43,1.188365926,1,226,1,5124,24.7932606,10,1977,221.8359985,277.3850098,0,589.2139893,0.148818,2.5070801,1423.73999,3.9737401,0.0944756,11,386.850008,Individual Air-Conditioning System,2,0,,,,NONE
15.48,1.189770956,1,180,1,559,47.3239822,22,1987,1278.479981,1007.200012,136.4409943,1046.729981,0,2.6503401,1394.52002,3.6512201,0.0191672,11,227.3754977,Individual Air-Conditioning System,,,,,,NONE
15.51,1.190611798,0,0,0,0,78.9428635,2,1986,0,0,0,0,0,2.5070801,1451.869995,2.02862,0.5378538,2,1207.330622,,,,,,,retro_after
15.59,1.192846115,1,131,1,1272,54.6610489,8,1969,2397.110107,2461.040039,16.2413006,756.2030029,0,2.4712601,1405.479981,1.95768,0.0250716,11,407.7035363,,,,,,,NONE
15.76,1.197556213,1,476,1,736,43.1704445,22,1980,59.2981987,457.4060059,0,830.632019,14.8627005,2.6503401,1407.310059,2.5736899,0.0412966,11,510.0426585,Individual Air-Conditioning System,2,0,,,,NONE
15.77,1.197831693,1,284,1,1894,46.3259048,13,1991,846.4470215,1313.630005,112.6729965,281.5450134,0,2.5428901,1421.920044,2.1289101,0.0842105,11,452.0387711,,,,,,,NONE
15.83,1.199480915,1,345,1,742,50.8448067,14,1976,1193.180054,520.2000122,0,913.9979858,88.5100021,2.5787101,1427.76001,2.82757,0.0179202,1,54.63381303,,,,,,,NONE
15.85,1.200029267,1,338,1,1563,44.0533485,12,1978,491.3959961,2350.699951,0,1094.420044,0,2.6145301,1425.939941,2.31128,0.0551325,11,25.37688113,,,,,,,NONE
